"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Cabo Verde","CPV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43401194","4.75244379","4.7555151","4.50008631","4.37710667","4.27364111","4.48974991","4.18900156","3.58312893","3.88152432","4.47555733","4.30527449","5.13365459","5.28994226","5.32722235","4.82334185","4.84606647","5.2683692","4.73804712","4.56319857","6.12421703","6.90378904","","",
"Costa Rica","CRI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56498766","6.47409868","6.8690877","6.9691925","6.63006067","6.6642971","6.93530846","6.99642611","7.46854782","7.86019135","8.02937794","8.12197781","7.78642321","7.68229342","7.66376162","7.59196234","7.31724358","7.04522991","7.28587723","7.22124958","7.8254571","7.56881428","","",
"Caribbean small states","CSS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.64065705797868","4.47654797515046","4.59435763361021","4.42598512818678","4.64572750747436","4.58236912684281","4.48217253226895","4.70483075756158","4.59425430729557","5.30885412669441","5.18467941028297","5.04350773784052","4.94130483837512","5.04311918607594","5.07987875599911","5.46017194887761","5.83207074740771","6.07344676050137","5.99185498521704","6.14900788801767","6.92540500400299","6.70316203094473","","",
"Cuba","CUB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.58189821","6.9820981","7.11481619","7.10295439","6.83178711","8.75525475","8.2719059","10.9674921","11.31422806","12.29053974","10.6880827","11.31298637","9.29940987","10.43099499","12.1412344","12.81401348","12.2177515","11.47197342","11.0184288","11.08496857","12.48639679","13.78727818","","",
"Curacao","CUW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.31","5.34","5.62","5.64","5.41","5.44","5.46","5.36","6.01","6.47","6.5","6.43","6.54","6.93","6.93","6.79","6.65","6.62","6.83","7.07","8.41","9.43","","",
"Czechia","CZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70103025","5.86295414","6.17736149","6.52412462","6.35071039","6.34086704","6.16380167","5.98578405","6.33024931","7.24880648","7.58647251","7.5580225","7.62448311","7.52132368","7.61248875","7.36897945","7.44554329","7.38071585","7.47048092","7.60336018","9.2136879","9.4887867","","",
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.88843536","9.92069149","10.18365669","10.40202236","10.14603233","10.31153965","10.17995167","10.05132961","10.25128746","11.23791218","11.09592915","10.77844906","10.85345554","10.99905777","11.02588272","11.19047737","11.241889","11.33617592","11.48051548","11.71550655","12.69255257","12.93412971","12.65471077","",
"Djibouti","DJI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3991127","3.19861364","3.7554152","4.27386999","3.53825521","3.80623102","4.22306824","4.05582809","3.61543369","3.64194465","3.35966682","3.37655354","3.299927","2.92013574","2.96726322","3.3475771","2.7416594","2.46857476","2.33968735","2.16640544","2.15048313","2.87667227","","",
"Dominica","DMA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.32374382","4.64501858","4.6531105","4.84617901","4.74520159","4.97772503","4.78092194","4.79109955","5.04968786","4.98329306","5.15711927","5.33450365","5.79509926","5.34749842","5.26141691","5.15941811","5.12308073","5.46245432","6.18495989","5.16903925","5.99901152","6.50494003","","",
"Denmark","DNK","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","8.45","8.7","8.9","9.01","9.09","9.17","9.33","9.51","10.67","10.61","10.41","10.52","10.33","10.31","10.34","10.25","10.1","10.1","10.15","10.56","10.82","9.5","",
"Dominican Republic","DOM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88427496","4.88183308","4.98649025","4.38888264","4.2877388","4.35391188","3.99365425","4.08935308","4.56146193","4.76337624","4.92355442","5.03797865","5.04897833","4.91598225","4.79757166","4.72216797","4.57663107","4.49336958","4.12601566","4.23948717","4.93998051","4.91815567","","",
"Algeria","DZA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48903275","3.83787704","3.7300415","3.60104108","3.5440731","3.23516107","3.35510349","3.82141757","4.20188284","5.35939837","5.11716986","5.26748085","6.00050974","6.03576279","6.54721403","6.96321011","6.58904791","6.53307724","6.38729763","5.86751413","6.14268684","5.5283432","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95548893016484","3.8547268116286","3.91698414256198","3.98294780377326","3.89234566940715","3.88299846640758","3.73184178216666","3.55816456127622","3.72775269305678","4.12686433727411","4.02010758261721","4.14244876145585","4.33731450813409","4.46903733081414","4.55683216872274","4.7179621046364","4.75414195229662","4.8190520915379","4.91805248134805","5.06628278675969","5.35211028501446","5.25988011948627","","",
